Crop,N,P,K,pH,soil_moisture,Fertilizer
tomato,102,70,93,6.0,56,Urea + DAP + Potash
banana,192,43,307,7.1,77,Urea + MOP + Organic Manure
sugarcane,145,66,115,6.7,72,Urea + DAP + Potash
rice,95,66,80,6.8,61,Urea + DAP + MOP
wheat,130,44,41,7.0,59,Urea + SSP + MOP
maize,98,66,70,6.2,56,Urea + DAP + Potash
groundnut,24,70,56,6.1,53,Gypsum + SSP
sugarcane,156,59,129,6.6,72,Urea + DAP + Potash
wheat,124,55,30,7.3,58,Urea + SSP + MOP
groundnut,22,51,52,6.1,50,Gypsum + SSP
potato,144,94,118,6.4,70,Urea + DAP + MOP
potato,149,89,119,6.2,62,Urea + DAP + MOP
groundnut,21,67,59,6.3,46,Gypsum + SSP
potato,131,92,122,6.2,63,Urea + DAP + MOP
rice,81,51,83,6.8,62,Urea + DAP + MOP
pulses,48,68,34,6.6,57,Organic Manure + SSP
maize,105,62,78,7.0,59,Urea + DAP + Potash
pulses,31,64,22,6.8,54,Organic Manure + SSP
potato,132,90,110,5.5,68,Urea + DAP + MOP
sugarcane,145,58,115,7.4,73,Urea + DAP + Potash
potato,139,99,115,5.5,70,Urea + DAP + MOP
banana,202,47,307,7.5,80,Urea + MOP + Organic Manure
wheat,120,43,42,7.1,59,Urea + SSP + MOP
cotton,77,38,90,7.2,51,Ammonium Sulphate + SSP + MOP
banana,199,53,299,7.0,73,Urea + MOP + Organic Manure
wheat,133,44,44,7.4,51,Urea + SSP + MOP
cotton,73,35,98,6.6,53,Ammonium Sulphate + SSP + MOP
groundnut,27,57,58,5.9,50,Gypsum + SSP
potato,139,87,128,6.2,63,Urea + DAP + MOP
maize,108,53,62,6.3,60,Urea + DAP + Potash
tomato,120,67,106,6.5,61,Urea + DAP + Potash
groundnut,22,53,70,6.3,46,Gypsum + SSP
sugarcane,146,57,117,7.4,72,Urea + DAP + Potash
tomato,109,56,102,6.5,59,Urea + DAP + Potash
sugarcane,148,51,117,7.4,65,Urea + DAP + Potash
groundnut,22,63,59,6.5,47,Gypsum + SSP
tomato,114,52,99,6.6,60,Urea + DAP + Potash
potato,142,90,117,6.0,63,Urea + DAP + MOP
rice,80,55,78,7.0,60,Urea + DAP + MOP
rice,96,67,88,6.2,64,Urea + DAP + MOP
cotton,82,33,101,7.0,54,Ammonium Sulphate + SSP + MOP
rice,84,50,71,6.5,70,Urea + DAP + MOP
groundnut,25,69,68,6.0,45,Gypsum + SSP
banana,190,49,292,7.1,80,Urea + MOP + Organic Manure
wheat,123,52,44,6.6,50,Urea + SSP + MOP
rice,86,54,80,6.5,69,Urea + DAP + MOP
rice,83,63,78,6.6,69,Urea + DAP + MOP
groundnut,22,68,62,6.5,53,Gypsum + SSP
potato,141,82,111,6.0,65,Urea + DAP + MOP
potato,150,100,129,6.0,70,Urea + DAP + MOP
pulses,45,69,27,6.2,59,Organic Manure + SSP
banana,191,57,301,6.9,79,Urea + MOP + Organic Manure
cotton,79,38,96,7.4,53,Ammonium Sulphate + SSP + MOP
potato,140,95,128,6.3,64,Urea + DAP + MOP
pulses,48,79,37,6.4,56,Organic Manure + SSP
rice,100,70,78,6.2,65,Urea + DAP + MOP
pulses,35,77,40,6.6,58,Organic Manure + SSP
sugarcane,160,61,118,6.8,65,Urea + DAP + Potash
cotton,89,39,94,7.0,51,Ammonium Sulphate + SSP + MOP
sugarcane,146,56,127,6.9,67,Urea + DAP + Potash
wheat,106,55,31,6.6,50,Urea + SSP + MOP
rice,83,59,88,6.4,70,Urea + DAP + MOP
pulses,38,76,38,6.1,60,Organic Manure + SSP
banana,210,53,309,7.1,75,Urea + MOP + Organic Manure
cotton,81,41,94,7.2,51,Ammonium Sulphate + SSP + MOP
maize,96,59,71,6.2,62,Urea + DAP + Potash
groundnut,25,58,65,5.8,53,Gypsum + SSP
banana,198,50,304,7.1,75,Urea + MOP + Organic Manure
pulses,40,65,26,6.9,60,Organic Manure + SSP
groundnut,23,54,68,5.9,48,Gypsum + SSP
sugarcane,159,60,129,6.6,71,Urea + DAP + Potash
tomato,107,62,99,6.9,56,Urea + DAP + Potash
maize,99,65,62,6.6,55,Urea + DAP + Potash
banana,202,45,299,7.5,79,Urea + MOP + Organic Manure
wheat,124,54,44,7.5,59,Urea + SSP + MOP
banana,201,58,304,6.9,74,Urea + MOP + Organic Manure
maize,110,70,73,6.7,56,Urea + DAP + Potash
banana,202,43,296,6.8,73,Urea + MOP + Organic Manure
wheat,129,46,44,7.1,58,Urea + SSP + MOP
sugarcane,146,51,117,7.2,66,Urea + DAP + Potash
potato,143,81,125,6.4,68,Urea + DAP + MOP
cotton,88,30,109,7.5,54,Ammonium Sulphate + SSP + MOP
cotton,75,44,91,7.1,54,Ammonium Sulphate + SSP + MOP
rice,100,50,70,6.9,64,Urea + DAP + MOP
rice,82,65,79,6.3,66,Urea + DAP + MOP
banana,191,58,292,7.4,78,Urea + MOP + Organic Manure
tomato,103,55,102,6.9,60,Urea + DAP + Potash
potato,136,80,116,5.9,61,Urea + DAP + MOP
sugarcane,157,60,113,6.8,65,Urea + DAP + Potash
sugarcane,152,66,110,7.0,75,Urea + DAP + Potash
tomato,102,55,90,6.3,59,Urea + DAP + Potash
potato,143,88,112,6.1,67,Urea + DAP + MOP
cotton,70,43,104,7.2,46,Ammonium Sulphate + SSP + MOP
sugarcane,140,50,126,6.7,66,Urea + DAP + Potash
maize,98,57,68,6.3,56,Urea + DAP + Potash
tomato,115,56,100,6.8,65,Urea + DAP + Potash
cotton,73,50,107,6.7,54,Ammonium Sulphate + SSP + MOP
sugarcane,156,59,130,7.3,66,Urea + DAP + Potash
cotton,78,45,107,6.5,55,Ammonium Sulphate + SSP + MOP
potato,150,96,123,6.2,68,Urea + DAP + MOP
pulses,35,69,29,6.6,56,Organic Manure + SSP
sugarcane,149,55,122,6.5,67,Urea + DAP + Potash
maize,102,67,80,6.1,59,Urea + DAP + Potash
cotton,90,30,102,6.9,49,Ammonium Sulphate + SSP + MOP
cotton,90,40,98,6.8,52,Ammonium Sulphate + SSP + MOP
groundnut,28,54,57,5.6,49,Gypsum + SSP
rice,85,51,85,6.3,63,Urea + DAP + MOP
rice,82,61,76,6.6,60,Urea + DAP + MOP
cotton,80,30,91,7.1,45,Ammonium Sulphate + SSP + MOP
groundnut,21,51,70,6.1,55,Gypsum + SSP
rice,93,70,82,6.8,62,Urea + DAP + MOP
potato,141,82,111,5.8,67,Urea + DAP + MOP
groundnut,21,51,65,5.5,52,Gypsum + SSP
pulses,35,76,24,6.0,57,Organic Manure + SSP
banana,207,40,304,6.9,75,Urea + MOP + Organic Manure
maize,103,69,75,6.5,59,Urea + DAP + Potash
groundnut,28,65,70,6.3,49,Gypsum + SSP
banana,204,46,310,7.3,75,Urea + MOP + Organic Manure
sugarcane,140,65,128,7.2,74,Urea + DAP + Potash
cotton,83,45,102,7.2,50,Ammonium Sulphate + SSP + MOP
pulses,37,71,37,6.1,55,Organic Manure + SSP
wheat,117,55,43,7.3,59,Urea + SSP + MOP
potato,149,84,113,5.6,63,Urea + DAP + MOP
tomato,119,63,107,6.6,56,Urea + DAP + Potash
cotton,70,50,93,7.1,45,Ammonium Sulphate + SSP + MOP
groundnut,27,70,61,6.0,48,Gypsum + SSP
banana,204,53,299,6.8,78,Urea + MOP + Organic Manure
potato,149,82,118,6.0,68,Urea + DAP + MOP
sugarcane,158,55,118,7.3,69,Urea + DAP + Potash
groundnut,27,63,57,6.3,55,Gypsum + SSP
sugarcane,148,62,123,7.1,72,Urea + DAP + Potash
banana,205,42,306,6.7,74,Urea + MOP + Organic Manure
wheat,109,50,49,6.7,57,Urea + SSP + MOP
sugarcane,158,61,129,6.9,70,Urea + DAP + Potash
maize,94,63,75,6.6,57,Urea + DAP + Potash
pulses,43,75,30,6.6,54,Organic Manure + SSP
wheat,125,42,48,7.5,52,Urea + SSP + MOP
groundnut,28,53,58,6.0,54,Gypsum + SSP
pulses,43,69,32,6.1,54,Organic Manure + SSP
banana,207,55,302,6.8,72,Urea + MOP + Organic Manure
cotton,84,42,99,7.1,50,Ammonium Sulphate + SSP + MOP
cotton,81,42,91,7.0,46,Ammonium Sulphate + SSP + MOP
pulses,36,69,40,6.4,58,Organic Manure + SSP
banana,190,46,294,6.8,73,Urea + MOP + Organic Manure
sugarcane,143,70,130,7.4,73,Urea + DAP + Potash
cotton,72,45,97,6.8,54,Ammonium Sulphate + SSP + MOP
cotton,80,32,100,7.2,49,Ammonium Sulphate + SSP + MOP
potato,134,82,118,6.4,60,Urea + DAP + MOP
rice,100,56,81,6.0,65,Urea + DAP + MOP
potato,136,82,130,5.7,63,Urea + DAP + MOP
banana,209,41,295,6.8,76,Urea + MOP + Organic Manure
potato,150,89,127,6.0,60,Urea + DAP + MOP
maize,92,68,70,6.5,59,Urea + DAP + Potash
wheat,113,43,33,6.6,54,Urea + SSP + MOP
pulses,38,74,34,6.5,54,Organic Manure + SSP
pulses,30,60,31,6.9,60,Organic Manure + SSP
groundnut,20,54,52,6.0,47,Gypsum + SSP
groundnut,20,63,64,5.7,47,Gypsum + SSP
wheat,100,47,50,7.3,57,Urea + SSP + MOP
potato,134,80,127,6.1,65,Urea + DAP + MOP
groundnut,20,63,59,6.3,46,Gypsum + SSP
tomato,107,63,94,6.2,57,Urea + DAP + Potash
rice,82,66,88,6.7,65,Urea + DAP + MOP
pulses,48,66,32,6.8,51,Organic Manure + SSP
maize,93,68,78,6.1,61,Urea + DAP + Potash
rice,81,64,75,6.6,66,Urea + DAP + MOP
maize,93,66,72,6.9,61,Urea + DAP + Potash
sugarcane,155,54,112,6.6,69,Urea + DAP + Potash
maize,91,59,76,6.7,62,Urea + DAP + Potash
maize,96,61,79,6.4,58,Urea + DAP + Potash
banana,199,51,298,6.9,74,Urea + MOP + Organic Manure
pulses,44,77,39,6.0,54,Organic Manure + SSP
banana,208,49,303,7.3,76,Urea + MOP + Organic Manure
cotton,80,47,108,7.0,47,Ammonium Sulphate + SSP + MOP
pulses,44,73,20,6.4,55,Organic Manure + SSP
sugarcane,147,70,118,7.4,67,Urea + DAP + Potash
cotton,85,43,105,6.7,55,Ammonium Sulphate + SSP + MOP
maize,107,70,68,6.1,56,Urea + DAP + Potash
groundnut,21,61,63,5.7,53,Gypsum + SSP
groundnut,29,61,63,6.2,51,Gypsum + SSP
potato,131,86,124,6.1,64,Urea + DAP + MOP
cotton,83,36,92,6.5,52,Ammonium Sulphate + SSP + MOP
groundnut,22,70,68,6.0,52,Gypsum + SSP
sugarcane,157,63,122,7.2,70,Urea + DAP + Potash
pulses,31,68,20,7.0,59,Organic Manure + SSP
potato,141,99,129,5.6,70,Urea + DAP + MOP
pulses,32,66,26,6.1,58,Organic Manure + SSP
groundnut,21,50,61,6.0,52,Gypsum + SSP
cotton,80,37,98,7.0,50,Ammonium Sulphate + SSP + MOP
pulses,49,66,34,6.5,59,Organic Manure + SSP
tomato,107,63,108,6.3,57,Urea + DAP + Potash
wheat,115,55,38,6.7,54,Urea + SSP + MOP
groundnut,21,66,63,6.4,52,Gypsum + SSP
rice,84,61,73,7.0,65,Urea + DAP + MOP
cotton,77,39,106,7.4,47,Ammonium Sulphate + SSP + MOP
banana,194,52,295,7.2,73,Urea + MOP + Organic Manure
banana,190,43,290,7.1,71,Urea + MOP + Organic Manure
pulses,46,79,25,6.4,55,Organic Manure + SSP
rice,84,58,77,6.1,62,Urea + DAP + MOP
pulses,43,68,22,6.6,59,Organic Manure + SSP
groundnut,23,61,57,6.3,46,Gypsum + SSP
potato,146,83,118,6.1,62,Urea + DAP + MOP
pulses,45,74,35,6.1,51,Organic Manure + SSP
sugarcane,158,62,113,7.5,69,Urea + DAP + Potash
potato,143,92,111,5.6,70,Urea + DAP + MOP
potato,140,89,110,6.2,63,Urea + DAP + MOP
sugarcane,147,52,110,6.7,69,Urea + DAP + Potash
banana,196,59,309,6.7,77,Urea + MOP + Organic Manure
wheat,107,42,50,7.4,59,Urea + SSP + MOP
rice,84,59,90,6.1,63,Urea + DAP + MOP
cotton,89,47,97,6.5,52,Ammonium Sulphate + SSP + MOP
pulses,49,67,25,6.3,57,Organic Manure + SSP
sugarcane,144,67,118,7.1,72,Urea + DAP + Potash
cotton,87,39,93,6.6,50,Ammonium Sulphate + SSP + MOP
potato,131,84,117,6.2,63,Urea + DAP + MOP
potato,141,95,130,5.8,68,Urea + DAP + MOP
groundnut,27,67,62,5.5,47,Gypsum + SSP
cotton,76,44,99,7.2,46,Ammonium Sulphate + SSP + MOP
potato,141,98,128,6.1,61,Urea + DAP + MOP
banana,202,51,290,7.3,72,Urea + MOP + Organic Manure
wheat,119,55,33,6.9,57,Urea + SSP + MOP
maize,98,57,69,6.8,57,Urea + DAP + Potash
sugarcane,148,56,128,6.8,68,Urea + DAP + Potash
sugarcane,158,56,111,7.1,74,Urea + DAP + Potash
pulses,39,63,36,6.7,50,Organic Manure + SSP
sugarcane,158,70,110,7.0,75,Urea + DAP + Potash
groundnut,21,55,59,5.8,46,Gypsum + SSP
groundnut,28,55,63,6.2,53,Gypsum + SSP
pulses,32,79,21,6.1,57,Organic Manure + SSP
rice,82,51,72,6.7,69,Urea + DAP + MOP
pulses,45,64,20,6.8,53,Organic Manure + SSP
tomato,105,55,91,6.0,62,Urea + DAP + Potash
rice,86,51,84,6.4,65,Urea + DAP + MOP
rice,94,57,72,6.8,60,Urea + DAP + MOP
sugarcane,140,54,128,6.8,75,Urea + DAP + Potash
banana,210,50,303,7.3,73,Urea + MOP + Organic Manure
tomato,118,52,96,6.6,64,Urea + DAP + Potash
maize,110,65,71,6.2,56,Urea + DAP + Potash
wheat,130,40,45,6.7,56,Urea + SSP + MOP
rice,85,60,89,6.1,70,Urea + DAP + MOP
cotton,78,31,108,7.4,50,Ammonium Sulphate + SSP + MOP
pulses,46,63,32,6.0,50,Organic Manure + SSP
wheat,131,48,38,6.9,55,Urea + SSP + MOP
cotton,72,44,101,6.7,49,Ammonium Sulphate + SSP + MOP
groundnut,26,67,55,6.3,55,Gypsum + SSP
groundnut,24,56,60,5.8,52,Gypsum + SSP
cotton,72,47,99,7.4,45,Ammonium Sulphate + SSP + MOP
groundnut,29,64,70,6.0,48,Gypsum + SSP
wheat,133,59,32,7.3,52,Urea + SSP + MOP
pulses,50,71,31,6.6,53,Organic Manure + SSP
sugarcane,145,52,114,7.0,72,Urea + DAP + Potash
pulses,35,65,38,6.5,57,Organic Manure + SSP
sugarcane,147,56,120,7.4,67,Urea + DAP + Potash
groundnut,23,63,54,6.1,50,Gypsum + SSP
maize,110,59,68,6.5,64,Urea + DAP + Potash
banana,206,57,291,7.2,78,Urea + MOP + Organic Manure
tomato,101,64,96,6.8,63,Urea + DAP + Potash
rice,97,59,89,6.6,60,Urea + DAP + MOP
pulses,37,60,32,6.8,60,Organic Manure + SSP
pulses,33,69,25,6.8,57,Organic Manure + SSP
wheat,128,46,40,7.3,56,Urea + SSP + MOP
pulses,43,77,37,6.7,60,Organic Manure + SSP
maize,95,65,77,6.1,63,Urea + DAP + Potash
pulses,35,71,31,6.7,53,Organic Manure + SSP
tomato,119,56,104,6.7,64,Urea + DAP + Potash
sugarcane,149,60,119,7.5,70,Urea + DAP + Potash
wheat,104,42,31,7.3,51,Urea + SSP + MOP
groundnut,29,66,60,6.2,46,Gypsum + SSP
groundnut,22,62,65,6.3,48,Gypsum + SSP
sugarcane,145,65,128,7.2,71,Urea + DAP + Potash
tomato,110,54,98,6.9,61,Urea + DAP + Potash
groundnut,22,61,65,5.7,54,Gypsum + SSP
rice,85,65,79,6.8,70,Urea + DAP + MOP
sugarcane,151,63,127,6.6,74,Urea + DAP + Potash
tomato,101,58,105,6.0,61,Urea + DAP + Potash
rice,86,65,75,6.8,61,Urea + DAP + MOP
tomato,120,56,106,6.0,64,Urea + DAP + Potash
potato,147,84,125,6.3,67,Urea + DAP + MOP
wheat,131,54,35,7.2,51,Urea + SSP + MOP
sugarcane,157,62,110,7.4,73,Urea + DAP + Potash
banana,203,42,306,7.4,80,Urea + MOP + Organic Manure
maize,110,60,73,6.7,56,Urea + DAP + Potash
potato,142,81,123,6.1,61,Urea + DAP + MOP
tomato,120,53,94,7.0,55,Urea + DAP + Potash
tomato,112,69,101,6.3,65,Urea + DAP + Potash
sugarcane,158,69,119,7.0,66,Urea + DAP + Potash
sugarcane,159,53,118,6.5,65,Urea + DAP + Potash
potato,141,92,115,5.9,70,Urea + DAP + MOP
pulses,31,60,35,6.4,52,Organic Manure + SSP
rice,86,60,73,7.0,70,Urea + DAP + MOP
sugarcane,158,56,120,7.1,68,Urea + DAP + Potash
groundnut,30,65,59,6.0,45,Gypsum + SSP
maize,109,69,79,6.5,58,Urea + DAP + Potash
sugarcane,140,61,129,7.2,68,Urea + DAP + Potash
groundnut,21,57,56,6.5,55,Gypsum + SSP
tomato,118,52,90,6.2,55,Urea + DAP + Potash
rice,84,55,74,6.4,62,Urea + DAP + MOP
banana,198,44,296,6.7,71,Urea + MOP + Organic Manure
banana,208,55,307,7.2,79,Urea + MOP + Organic Manure
cotton,84,36,103,7.2,49,Ammonium Sulphate + SSP + MOP
maize,104,69,74,6.5,62,Urea + DAP + Potash
tomato,102,63,92,7.0,56,Urea + DAP + Potash
groundnut,30,67,68,5.7,53,Gypsum + SSP
pulses,36,79,38,6.3,50,Organic Manure + SSP
maize,110,52,77,7.0,56,Urea + DAP + Potash
potato,130,91,110,5.9,69,Urea + DAP + MOP
tomato,101,65,99,6.1,56,Urea + DAP + Potash
maize,93,56,60,6.5,56,Urea + DAP + Potash
potato,137,93,116,5.7,68,Urea + DAP + MOP
pulses,30,73,37,6.7,51,Organic Manure + SSP
tomato,103,61,99,6.3,55,Urea + DAP + Potash
maize,100,53,74,6.8,55,Urea + DAP + Potash
potato,133,91,117,6.4,67,Urea + DAP + MOP
maize,92,69,76,6.3,63,Urea + DAP + Potash
pulses,42,72,21,6.1,52,Organic Manure + SSP
cotton,84,38,102,7.1,54,Ammonium Sulphate + SSP + MOP
groundnut,27,59,60,6.3,49,Gypsum + SSP
maize,108,59,62,6.8,60,Urea + DAP + Potash
maize,92,68,72,6.8,59,Urea + DAP + Potash
sugarcane,152,62,129,7.0,72,Urea + DAP + Potash
wheat,133,52,43,7.1,54,Urea + SSP + MOP
pulses,35,76,32,6.3,50,Organic Manure + SSP
rice,99,67,78,6.1,60,Urea + DAP + MOP
banana,193,43,297,7.4,73,Urea + MOP + Organic Manure
wheat,130,57,42,6.6,58,Urea + SSP + MOP
potato,135,99,128,6.1,64,Urea + DAP + MOP
potato,133,95,129,6.0,61,Urea + DAP + MOP
tomato,115,68,101,6.6,62,Urea + DAP + Potash
cotton,76,40,109,7.5,55,Ammonium Sulphate + SSP + MOP
groundnut,23,58,58,6.4,55,Gypsum + SSP
maize,103,60,80,6.5,55,Urea + DAP + Potash
pulses,40,79,40,6.3,56,Organic Manure + SSP
rice,99,53,89,6.2,68,Urea + DAP + MOP
rice,89,63,84,6.9,65,Urea + DAP + MOP
pulses,39,68,36,6.5,55,Organic Manure + SSP
cotton,87,39,97,7.2,53,Ammonium Sulphate + SSP + MOP
potato,136,80,118,6.1,69,Urea + DAP + MOP
wheat,133,49,44,7.0,58,Urea + SSP + MOP
tomato,104,65,107,6.5,55,Urea + DAP + Potash
banana,190,43,309,6.7,73,Urea + MOP + Organic Manure
tomato,114,60,108,6.3,64,Urea + DAP + Potash
rice,81,59,75,6.6,60,Urea + DAP + MOP
wheat,130,49,43,7.1,58,Urea + SSP + MOP
pulses,45,71,23,7.0,58,Organic Manure + SSP
pulses,36,71,36,6.6,51,Organic Manure + SSP
banana,202,57,300,7.4,80,Urea + MOP + Organic Manure
potato,146,84,110,6.0,60,Urea + DAP + MOP
banana,192,51,304,7.0,76,Urea + MOP + Organic Manure
cotton,88,33,98,6.8,50,Ammonium Sulphate + SSP + MOP
sugarcane,153,51,112,7.1,69,Urea + DAP + Potash
potato,150,88,126,5.9,65,Urea + DAP + MOP
tomato,102,65,97,6.3,57,Urea + DAP + Potash
tomato,117,68,101,6.2,65,Urea + DAP + Potash
groundnut,20,67,60,6.2,47,Gypsum + SSP
potato,132,88,123,5.8,66,Urea + DAP + MOP
maize,90,58,65,6.5,60,Urea + DAP + Potash
pulses,47,68,25,6.3,57,Organic Manure + SSP
maize,94,64,61,6.6,60,Urea + DAP + Potash
pulses,47,80,23,6.4,58,Organic Manure + SSP
tomato,115,65,93,6.2,57,Urea + DAP + Potash
tomato,100,64,109,6.7,57,Urea + DAP + Potash
rice,91,67,75,6.6,60,Urea + DAP + MOP
groundnut,20,65,54,6.3,52,Gypsum + SSP
groundnut,20,53,58,5.9,51,Gypsum + SSP
rice,94,61,74,6.1,63,Urea + DAP + MOP
maize,91,60,70,6.9,55,Urea + DAP + Potash
cotton,75,41,97,6.9,52,Ammonium Sulphate + SSP + MOP
cotton,85,45,110,7.4,54,Ammonium Sulphate + SSP + MOP
tomato,104,57,102,6.1,62,Urea + DAP + Potash
sugarcane,160,58,116,7.2,73,Urea + DAP + Potash
wheat,132,46,41,6.7,57,Urea + SSP + MOP
groundnut,26,60,67,6.2,49,Gypsum + SSP
potato,143,91,127,6.1,67,Urea + DAP + MOP
pulses,32,75,20,6.2,50,Organic Manure + SSP
groundnut,23,63,52,6.3,55,Gypsum + SSP
maize,104,61,80,6.8,59,Urea + DAP + Potash
banana,205,59,294,7.0,75,Urea + MOP + Organic Manure
rice,92,67,70,6.0,66,Urea + DAP + MOP
rice,86,65,72,6.6,70,Urea + DAP + MOP
rice,91,64,79,6.5,68,Urea + DAP + MOP
potato,148,88,120,5.5,64,Urea + DAP + MOP
tomato,114,70,93,6.9,56,Urea + DAP + Potash
banana,191,48,300,6.7,76,Urea + MOP + Organic Manure
sugarcane,142,63,118,7.3,72,Urea + DAP + Potash
potato,134,100,127,6.0,60,Urea + DAP + MOP
groundnut,20,64,64,5.7,52,Gypsum + SSP
sugarcane,155,55,115,7.3,75,Urea + DAP + Potash
groundnut,29,52,58,6.3,54,Gypsum + SSP
rice,98,70,84,6.2,62,Urea + DAP + MOP
maize,101,58,60,6.5,60,Urea + DAP + Potash
cotton,88,39,95,7.5,48,Ammonium Sulphate + SSP + MOP
rice,94,66,79,6.5,60,Urea + DAP + MOP
maize,106,50,60,6.6,57,Urea + DAP + Potash
groundnut,25,69,62,5.5,49,Gypsum + SSP
maize,102,53,72,6.8,61,Urea + DAP + Potash
potato,150,81,127,5.9,63,Urea + DAP + MOP
sugarcane,155,53,113,7.3,75,Urea + DAP + Potash
wheat,133,51,42,6.7,58,Urea + SSP + MOP
potato,149,97,120,6.3,70,Urea + DAP + MOP
groundnut,27,61,62,6.5,49,Gypsum + SSP
wheat,134,58,50,7.4,54,Urea + SSP + MOP
cotton,84,33,105,7.2,54,Ammonium Sulphate + SSP + MOP
groundnut,26,65,50,5.8,46,Gypsum + SSP
potato,142,92,112,6.3,62,Urea + DAP + MOP
pulses,45,60,39,6.7,53,Organic Manure + SSP
pulses,35,75,22,6.2,51,Organic Manure + SSP
rice,92,70,77,6.7,62,Urea + DAP + MOP
rice,97,52,74,6.7,69,Urea + DAP + MOP
sugarcane,154,53,119,6.8,72,Urea + DAP + Potash
pulses,31,72,38,6.6,56,Organic Manure + SSP
groundnut,21,68,63,6.2,46,Gypsum + SSP
sugarcane,152,65,116,6.5,73,Urea + DAP + Potash
sugarcane,158,58,123,6.9,74,Urea + DAP + Potash
tomato,107,69,106,6.3,59,Urea + DAP + Potash
maize,91,70,64,6.3,60,Urea + DAP + Potash
banana,196,55,292,7.3,79,Urea + MOP + Organic Manure
maize,106,60,60,6.6,61,Urea + DAP + Potash
potato,132,85,125,6.0,65,Urea + DAP + MOP
potato,139,80,123,5.5,69,Urea + DAP + MOP
cotton,82,50,93,6.7,53,Ammonium Sulphate + SSP + MOP
pulses,46,75,25,6.6,57,Organic Manure + SSP
tomato,119,50,95,6.0,58,Urea + DAP + Potash
potato,150,89,117,5.9,61,Urea + DAP + MOP
potato,144,86,130,6.0,64,Urea + DAP + MOP
banana,198,51,303,6.5,79,Urea + MOP + Organic Manure
potato,149,86,122,6.0,69,Urea + DAP + MOP
rice,98,63,89,6.7,70,Urea + DAP + MOP
potato,135,90,121,6.2,62,Urea + DAP + MOP
rice,80,61,85,6.2,66,Urea + DAP + MOP
potato,134,88,121,6.4,65,Urea + DAP + MOP
pulses,37,74,22,6.1,51,Organic Manure + SSP
sugarcane,147,61,113,6.9,74,Urea + DAP + Potash
groundnut,25,54,65,6.5,49,Gypsum + SSP
potato,136,91,127,6.3,61,Urea + DAP + MOP
rice,96,53,84,6.4,65,Urea + DAP + MOP
groundnut,23,60,62,5.5,50,Gypsum + SSP
pulses,42,67,36,6.6,50,Organic Manure + SSP
wheat,136,55,48,6.9,58,Urea + SSP + MOP
sugarcane,142,57,126,7.2,75,Urea + DAP + Potash
banana,202,40,294,7.3,78,Urea + MOP + Organic Manure
banana,202,41,304,6.5,75,Urea + MOP + Organic Manure
cotton,80,40,109,6.9,55,Ammonium Sulphate + SSP + MOP
groundnut,20,54,54,5.7,45,Gypsum + SSP
rice,91,65,74,6.3,70,Urea + DAP + MOP
cotton,70,38,99,6.9,48,Ammonium Sulphate + SSP + MOP
pulses,35,61,36,6.4,60,Organic Manure + SSP
potato,142,95,112,6.4,62,Urea + DAP + MOP
groundnut,22,62,56,5.8,48,Gypsum + SSP
